"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-09","0.00","D,,S","88","H,,S","104",",,S",,
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-10","0.00","D,,S","88","H,,S","103",",,S","75",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-11","0.00","D,,S","88","H,,S","104",",,S","73",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-12","0.00","D,,S","88","H,,S","105",",,S","72",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-13","0.00","D,,S","89","H,,S","105",",,S","74",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-14","0.00","D,,S","91","H,,S","109",",,S","75",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-15","0.00","D,,S","90","H,,S","110",",,S","76",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-16","0.00","D,,S","90","H,,S","108",",,S","76",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-17","0.00","D,,S","89","H,,S","103",",,S","77",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-18","0.00","D,,S","89","H,,S","106",",,S","78",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-19","0.00","D,,S","93","H,,S","109",",,S","78",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-20","0.00","D,,S","93","H,,S","111",",,S","78",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-21","0.00","D,,S","92","H,,S","108",",,S","78",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-22","0.00","D,,S","91","H,,S","107",",,S","76",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-23","0.00","D,,S","91","H,,S","106",",,S","80",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-24","0.00","D,,S","92","H,,S","108",",,S","77",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-25","0.00","D,,S","92","H,,S","105",",,S","78",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-26","0.00","D,,S","90","H,,S","106",",,S","78",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-27","0.00","D,,S","90","H,,S","105",",,S","77",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-28","0.00","D,,S","89","H,,S","105",",,S","79",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-29","0.00","D,,S","88","H,,S","103",",,S","78",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-30","0.00","D,,S","90","H,,S","104",",,S","79",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-05-31","0.00","D,,S","92","H,,S","107",",,S","80",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-01","0.00","D,,S","91","H,,S","106",",,S","81",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-02","0.00","D,,S","90","H,,S","105",",,S","79",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-03","0.00","D,,S","90","H,,S","106",",,S","80",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-04","0.00","D,,S","92","H,,S","107",",,S","79",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-05","0.00","D,,S","92","H,,S","108",",,S","80",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-06","0.00","D,,S","91","H,,S","106",",,S","80",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-07","0.00","D,,S","92","H,,S","103",",,S","81",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-08","0.00","D,,S","92","H,,S","106",",,S","83",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-09","0.00","D,,S","91","H,,S","107",",,S","82",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-10","0.00","D,,S","90","H,,S",,,"80",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-11","0.00","D,,S","89","H,,S","106",",,S","81",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-12","0.00","D,,S","91","H,,S","105",",,S","81",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-13",,,"88","H,,S","104",",,S",,
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-14","0.00","D,,S","88","H,,S","105",",,S","80",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-15","0.00","D,,S","91","H,,S","104",",,S","79",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-16","0.00","D,,S","89","H,,S","105",",,S","80",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-17","0.00","D,,S","91","H,,S","106",",,S","80",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-18",,,"90","H,,S","106",",,S","81",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-19","0.00","D,,S","89","H,,S","102",",,S","77",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-06-20","0.00","D,,S","90","H,,S","102",",,S",,
